legislator,volunteer,date,typeOfContact,notes,support,state
Michael Ashford,Martin Keeley,9/26/2017,Met with staff,"Cad meeting Kyle and I met with Ashford's aid Vincent. . Vincent asked a lot of questions, basically wanting us to run through the nuts and bolts of how our resolution worked. Kyle explained what the goal was, the entire process of how an Article V convention works, and that we are not proposing solutions to the problem of money and politics at this stage, as those will be discussed at the convention and that the resolution is merely meant to get the convention called.I explained to him about the fears of a runaway convention when he asked what sort of push back we often get on it and Kyle explained that the an Article V convention would be limited to just the issue of campaign finance reform and that they would not be allowed to discuss other issues. Kyle also explained that the ratification threshold means that whatever comes out of the convention cannot be too radical or it would not get ratified. He asked if this had ever been done before, and we explained that it hadn’t, but that was because whenever an issue gets close to the required number of states, Congress usually drafts an amendment themselves and that half of our current amendments came about in this way. Kyle also explained that that means that if the preference is to go through Congress, this would be an effective means of signalling to them that this is an issue of importance and lighting a fire under them to get them to address it. We gave him the Resolution, the polling data on the issue of money in politics, and the DOJ report and he asked if we had polling data from the State of Ohio specifically, which we admitted we did not as our only data currently is from a national poll. He also asked for a list of what states had passed the resolution, which we gave him, and of states that had come close to passing, which we did not have. He also asked how many states we were active in and we said all of them.I told him I would call the end of the week about setting up a meeting with Representative Ashford.",2 - Not Confirmed,OH
John Patterson,Martin ,9/27/2017,Emailed legislator,Emailed Representative Patterson to thank him for the meeting taday.,1 - Supportive,OH
Michael Ashford,Martin Keeley,9/27/2017,Emailed legislator,Emailed Ashford's office to thank them for the meeting Tuesday.,2 - Not Confirmed,OH
Jay Edwards,Martin Keeley,9/27/2017,Emailed legislator,Emailed Edwards' office to thank them for the meeting Tuesday.,2 - Not Confirmed,OH
Dan Ramos,Martin keeley,9/27/2017,Emailed legislator,Emailed Ramos' office to thank them for the meeting Tuesday.,1 - Supportive,OH
Bill Seitz,Megan Miller,9/26/2017,Stopped by Columbus office twice,"CAD - tried to do a walk-in meeting with his staff, no one answered phone. 

Went back about 2 hours later and got the name and email of his legislative aide, Justin",N/A,OH
Bill Patmon,Alexis Alberts,9/27/2017,Emailed legislator,Emailed aide Alex Strickmaker to thank him for his advice. I mentioned that we took his suggestion and spoke with other offices about the campaign finance-related issues that resonate. I told him that we are currently working with another rep to get an official draft and that we'd like to get Rep Patmon's thoughts on it once we have it. ,N/A,OH
John Patterson,Ted Gurrola,9/27/2017,Met Legislator,"Martin keeley and I met with Rep Patterson who is extremely in favor of our movement. Previously, Patterson has cosponsored a very similar resolution to ours in GA 130, HJR4, which also called an article V convention to address money in politics. he also voted in favor of the balanced budget convention resolution in GA 130. In our discussion, Patterson started off by stated citizens united bothered him because little folks aren't heard due to it. He agrees that big money is a huge problem in politics, and then Patterson brought up Kent state because we were talking about income inequality and he asked do they, meaning the people in Washington, want the people in this country to get that angry?

He isn't in favor of an open convention like the one Huffman is proposing, but rather that the convention needs to be more targeted to one issue. ""If you open the door that wide, you don't know what will come through"". He went on to mention that potential republican sponsors might be Dever, Hagan, Roegner, or Householder. When we told him Roegner had been turned off to the idea of a convention because of the BB discussion, he mentioned that was probably due to the BB being a much more open convention. He thinks the core group of republicans won't support our resolution unless moderate republicans or republican mavericks support first. 

Patterson went on to discuss how income has not increased since the 70s and that parents allowed families to live and live well off 1 income. Now only 1 parent working is not an option. He agrees that when special interests give millions to politicians they get trillions back in tax cuts. In regard to the BB resolutions, he acknowledged that in order for our country to invest, we needed to borrow money sometimes. Also, he was afraid of what we would cut to balance the budget. 

Patterson was strongly in favor of our agenda and advised us to send him our resolution when it was officially drafted by rep dever so he could advise and help rewrite it if necessary to be more successful. From there he would help it along as much as he could so that it passed. He said republicans in their hearts believe in our ideas, but that politically it isn't always in their best interests to take the moral high ground. Patterson isn't afraid of debate, but if our issue gets debated on the floor of the chamber we will lose because a bill very rarely does not pass if it gets to the floor. If there is still debate on the floor, after the debates of the committee hearings, we might have a problem. He can help round up support, and said his best work goes unseen.

He then talked about the committee process. Saying that there usually isn't debate in committee, just questions. He suggested we should construct our argument in committee so majority party will easily conform it to their world view. That we should get rid of the states we have already passed because they are democrat controlled. Even Illinois, because Obama is from there. Even if we say we are nonpartisan, perception is more important than reality, he argued. Next, he advised us to have as little information in our resolution as possible, so there are less ""bones to pick apart"". 

He went on to talk about Kasich and how he might be a player. Kasich might be in favor of our resolution because the BB passed two years ago thanks to Kasich's pushing for it. As well, Kasich might run for president again and/or governor and this is a very popular issue to run on. Patterson also recommended Nickie Antonio in the democratic leadership as someone who would support us, because she believes in fair government. For some reason he quickly switched gears and made the argument that it would be better to have states pass election reform at their level. However, I argued that congress would not be swayed by this to solve the problem, first because they haven't solved it already meaning they are either unwilling or unable to do so and second because they did not solve the problem of a balanced budget when 32 states called for one. even after passing gramm-rudman, we now have 20 trillion dollars in debt. he agreed with all these points and went back to agreeing completely with our idea of how to fix the problem and that we should send him our official draft language to him as soon as we have it so he can help rewrite it where necessary.",1 - Supportive,OH
John Rogers,Martin KEELEY,9/29/2017,Phone call with staff,"Called to follow up on meeting request and spoke to Mike, have a meeting scheduled for Oct. 11 at 10:30.",2 - Not Confirmed,OH
Rick Perales,Martin Keeley,9/29/2017,Phone call with staff,"Called to follow up on meeting request and spoke to Nick, have meeting set for Oct. 11th at 10:00.",2 - Not Confirmed,OH
Mike Ashford,Martin Keeley,9/29/2017,Phone call with staff,Called to follow up on meeting request and talked to Vincent. He said the Rep's schedule is booked up the next three weeks.Said he would get with Rep. to see if a time for a meeting could be found the last week of Oct. or the first part of Nov.and he would get back with me.,2 - Not Confirmed,OH
Jay Edwards,Martin Keeley,9/29/2017,Phone call with staff,Called to follow up on meeting request and spoke to Jacob. He said he was not in the office to be able to check the schedule so he would call me back. He did not call so I will call back first of the week.,2 - Not Confirmed,OH
